FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
28,23,38,21,9,20,21,13,6,17,-3,-5,-10,-14,-14,5,11,11,-19,-184,4
27,21,36,21,9,17,19,13,10,16,-1,-4,-9,-14,-13,5,13,11,-26,-156,3
22,16,33,19,7,13,16,12,15,18,0,-2,-6,-14,-11,6,16,12,-34,-129,1
15,11,28,15,4,8,13,11,19,22,1,0,-3,-13,-9,8,17,13,-41,-104,0
11,7,26,13,1,6,14,9,21,25,2,1,-1,-12,-7,11,16,14,-44,-80,-1
11,9,27,16,0,9,20,8,19,25,2,3,-1,-10,-3,16,13,12,-40,-58,-1
16,15,32,23,-1,17,30,9,16,22,4,5,-3,-8,1,23,10,8,-32,-35,0
21,21,38,30,-1,25,40,11,11,18,6,7,-6,-6,7,30,8,2,-24,-13,0
23,23,41,34,-2,30,45,14,6,15,7,7,-8,-5,11,35,6,-2,-20,9,0
20,19,39,32,-4,28,42,15,2,13,8,7,-11,-4,13,37,3,-6,-20,32,0
11,9,32,24,-8,21,33,13,-1,13,8,7,-13,-5,13,36,-2,-10,-23,55,-1
1,-1,23,15,-12,12,23,9,-5,13,7,8,-15,-6,12,34,-10,-12,-28,79,-2
-5,-9,16,10,-16,6,18,5,-9,13,7,10,-17,-5,12,33,-18,-14,-29,102,-1
-7,-10,12,10,-17,6,19,2,-12,13,9,15,-19,-4,15,34,-23,-15,-27,124,-1
-4,-7,11,14,-17,10,24,1,-15,11,11,20,-19,-1,20,36,-26,-17,-22,144,0
-1,-3,11,19,-17,16,29,1,-17,10,12,23,-18,0,24,38,-26,-17,-17,160,0
0,-3,10,20,-17,18,31,2,-18,9,12,24,-15,2,26,38,-26,-16,-13,171,0
-1,-8,7,16,-19,17,26,1,-18,10,9,22,-13,3,25,36,-26,-14,-12,180,-1
-7,-16,3,8,-21,12,18,0,-18,11,5,17,-11,1,21,32,-28,-11,-13,189,-2
-12,-24,0,1,-24,7,11,0,-18,11,1,13,-9,1,19,28,-28,-8,-15,197,-3
-13,-26,0,-2,-25,6,9,0,-17,10,0,12,-6,2,19,27,-27,-6,-15,208,-2
-9,-22,1,0,-25,8,13,3,-15,7,4,14,-2,6,23,30,-22,-4,-13,221,-1
-3,-14,5,4,-23,14,21,8,-12,4,9,18,2,12,29,34,-15,-2,-11,235,-1
1,-7,7,9,-22,18,28,13,-11,1,14,21,7,15,32,38,-10,-1,-10,246,-1
3,-4,6,11,-21,20,32,14,-10,0,15,22,9,17,32,39,-7,-1,-12,254,-2
0,-6,2,9,-22,17,31,12,-11,-2,12,19,8,14,28,37,-9,-2,-15,256,-4
-6,-12,-3,4,-24,12,26,6,-14,-4,6,14,3,9,20,32,-15,-4,-19,254,-6
-12,-16,-9,2,-26,8,23,1,-17,-5,-1,8,-1,3,12,27,-21,-7,-22,249,-6
-14,-18,-11,3,-26,7,24,0,-19,-5,-6,4,-5,0,8,26,-24,-11,-23,244,-6
-14,-18,-11,7,-25,8,27,0,-19,-5,-10,1,-6,-2,6,26,-24,-13,-23,238,-4
-13,-17,-10,11,-24,10,32,1,-19,-3,-12,0,-6,-3,6,29,-22,-14,-23,231,-2
-13,-18,-10,13,-24,10,34,2,-19,-1,-12,-1,-4,-3,7,31,-20,-14,-23,218,0
-14,-22,-12,11,-25,8,32,2,-20,0,-12,-2,-5,-4,6,31,-21,-13,-23,199,1
-17,-27,-16,7,-27,3,27,0,-22,2,-13,-3,-7,-6,4,29,-25,-13,-24,172,3
-19,-32,-19,3,-28,-1,20,-3,-25,2,-13,-5,-10,-7,1,25,-29,-13,-25,137,4
-19,-35,-20,1,-29,-5,15,-6,-27,1,-13,-5,-12,-6,0,21,-32,-14,-25,99,4
-18,-36,-19,0,-29,-8,12,-6,-26,1,-11,-3,-13,-4,1,19,-31,-15,-27,58,3
-17,-35,-16,0,-28,-10,10,-4,-22,1,-9,0,-10,-1,3,18,-26,-15,-29,19,0
-17,-35,-14,-2,-28,-13,9,-2,-17,2,-6,4,-5,3,7,19,-19,-13,-33,-16,-1
-18,-35,-12,-4,-27,-15,8,-1,-12,3,-2,8,-1,7,11,21,-14,-12,-36,-49,-4
-18,-33,-9,-5,-25,-14,9,0,-9,2,0,13,0,10,14,23,-10,-11,-37,-78,-6
-14,-29,-4,-3,-21,-10,13,0,-9,-1,0,17,0,12,16,26,-8,-12,-36,-102,-6
-7,-21,1,2,-17,-2,20,2,-11,-6,1,20,-1,12,18,28,-6,-14,-31,-121,-4
0,-13,8,11,-13,6,29,4,-14,-12,2,22,-3,12,20,30,-3,-16,-27,-133,0
6,-6,14,18,-9,13,35,8,-16,-15,2,22,-5,10,19,30,0,-18,-25,-142,3
7,-4,16,22,-8,16,37,11,-19,-15,1,20,-7,6,17,28,3,-20,-27,-147,6
5,-6,14,23,-8,15,35,13,-21,-14,0,17,-10,2,12,25,4,-21,-32,-149,8
0,-9,12,22,-10,12,32,13,-23,-11,-1,13,-14,-3,7,22,2,-22,-38,-147,8
-4,-13,9,20,-11,8,28,12,-25,-8,-3,10,-17,-8,2,20,1,-23,-44,-143,7
-4,-12,11,20,-11,8,29,12,-25,-4,-3,8,-19,-12,0,20,2,-23,-48,-135,5
