FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
3,17,13,8,-6,1,21,9,-37,-38,-7,2,-12,-12,-16,20,-8,-18,36,-417,4
1,13,10,5,-6,-1,19,9,-34,-35,-8,0,-10,-13,-18,16,-5,-15,34,-378,0
0,11,8,4,-5,-2,19,8,-31,-31,-8,-3,-9,-13,-19,13,-4,-12,34,-340,-1
2,13,9,7,-3,-1,20,9,-28,-30,-7,-4,-8,-11,-20,11,-4,-9,38,-303,-1
6,18,13,12,0,1,24,12,-25,-28,-4,-1,-7,-7,-19,11,-3,-6,44,-268,0
12,25,19,17,4,4,26,15,-22,-27,0,2,-4,-2,-16,12,-2,-3,50,-236,3
15,29,23,20,7,5,26,19,-20,-24,4,6,0,1,-13,15,0,1,52,-207,5
13,28,23,17,6,3,20,19,-17,-21,9,9,4,4,-11,17,0,7,51,-183,5
7,21,20,10,3,-3,10,17,-16,-18,12,11,8,5,-10,18,0,12,45,-162,2
0,12,15,1,-1,-10,0,12,-16,-18,13,12,10,3,-10,19,-3,15,40,-143,-1
-4,7,11,-2,-5,-13,-6,7,-17,-23,13,13,9,2,-7,22,-6,14,37,-124,-4
-3,8,12,0,-7,-11,-5,5,-18,-30,14,17,9,2,-3,27,-6,11,37,-104,-6
1,13,17,6,-5,-5,1,7,-19,-37,16,22,9,3,0,33,-3,7,39,-84,-6
5,20,22,14,-2,1,9,11,-20,-42,17,26,10,4,4,38,0,4,40,-63,-5
7,23,25,17,0,5,14,13,-22,-43,17,27,11,2,5,40,0,3,38,-41,-4
3,20,23,15,0,4,14,12,-24,-41,15,26,11,0,4,40,-4,3,34,-19,-4
-2,14,18,9,-1,0,10,8,-28,-36,12,22,8,-4,2,38,-11,5,27,2,-4
-7,8,13,1,-2,-4,5,2,-31,-30,9,18,5,-7,1,35,-17,6,21,25,-3
-7,8,10,-2,-2,-5,3,0,-32,-24,8,16,3,-9,2,32,-21,7,18,49,-2
-2,13,12,-1,0,-2,4,-1,-30,-19,9,16,3,-8,4,31,-20,7,17,71,0
6,21,18,2,3,2,8,1,-26,-15,11,17,4,-8,5,30,-16,7,17,92,2
14,30,25,7,8,6,12,3,-21,-13,13,18,5,-9,3,27,-10,6,18,111,4
18,36,28,8,11,6,12,4,-18,-13,13,17,4,-12,-1,23,-8,5,16,129,6
19,37,29,7,11,1,9,1,-18,-13,11,14,0,-18,-9,17,-11,3,13,144,7
19,35,27,5,11,-4,6,-3,-20,-14,8,11,-5,-24,-18,11,-16,1,10,160,6
20,35,27,4,11,-7,5,-7,-24,-16,5,8,-11,-29,-25,7,-20,-1,9,175,4
24,38,29,7,13,-5,9,-6,-27,-16,2,6,-16,-31,-28,5,-20,-4,12,190,2
30,45,34,12,16,0,17,-1,-29,-15,1,5,-17,-32,-30,4,-15,-7,17,203,0
37,52,41,19,21,7,25,5,-29,-12,0,4,-17,-32,-30,3,-8,-9,23,214,0
44,59,47,24,26,16,32,13,-27,-8,0,2,-14,-31,-28,4,0,-10,29,223,1
47,63,50,25,29,21,33,19,-24,-3,-1,0,-10,-29,-26,5,8,-8,32,228,2
45,58,46,19,29,19,27,19,-21,1,-2,-2,-8,-29,-26,5,11,-5,31,228,3
40,48,38,8,27,13,16,13,-20,4,-5,-7,-9,-29,-26,4,8,-3,27,224,1
38,42,31,1,26,10,10,8,-21,3,-7,-11,-10,-29,-24,5,5,-1,25,219,0
42,43,30,1,29,13,12,8,-22,3,-6,-12,-10,-26,-18,9,9,0,26,216,-2
50,48,34,5,35,20,19,12,-21,5,-4,-11,-7,-23,-10,14,18,3,28,216,-4
59,54,40,12,41,27,27,18,-19,9,-2,-10,-4,-20,-2,18,29,6,29,217,-4
68,59,44,20,46,34,35,24,-18,14,0,-9,-1,-15,4,21,37,9,30,218,-4
73,62,47,26,49,40,41,28,-18,18,-1,-8,0,-11,9,22,43,10,30,216,-2
74,62,47,31,50,44,45,29,-19,20,-2,-7,0,-8,12,20,44,10,31,209,0
74,62,46,35,49,48,49,29,-21,20,-4,-7,-3,-6,12,17,42,8,32,195,0
74,63,46,41,50,52,54,31,-23,18,-5,-6,-6,-4,12,12,40,6,35,175,0
72,64,47,46,50,56,57,34,-23,18,-5,-6,-8,-5,9,6,41,5,35,148,-1
66,60,46,45,48,54,53,36,-23,18,-7,-8,-10,-8,3,-2,42,5,31,117,-3
56,49,41,38,44,46,42,34,-23,20,-10,-13,-13,-14,-5,-15,42,6,23,80,-6
45,37,32,29,38,35,27,28,-24,20,-14,-19,-17,-20,-16,-28,39,6,13,43,-8
40,30,28,24,34,29,18,23,-26,17,-16,-23,-20,-24,-23,-39,39,5,6,9,-8
43,33,29,26,33,29,18,22,-26,14,-15,-24,-21,-25,-26,-44,43,4,4,-17,-8
51,42,34,33,34,34,24,24,-26,10,-11,-21,-18,-24,-26,-44,51,3,4,-37,-6
58,50,39,40,35,38,31,28,-25,6,-8,-18,-16,-24,-26,-43,59,1,3,-53,-4
60,53,41,43,34,38,35,29,-26,2,-7,-17,-16,-26,-28,-41,62,-3,0,-68,-2
58,51,39,42,32,36,37,28,-29,-4,-11,-19,-20,-31,-34,-40,59,-9,-4,-82,-2
54,46,36,40,30,33,39,27,-34,-11,-16,-24,-27,-38,-39,-38,54,-16,-9,-94,-2
50,41,34,39,29,34,42,26,-39,-19,-22,-28,-35,-44,-42,-32,48,-24,-11,-104,-2
49,40,36,42,29,37,49,27,-42,-26,-25,-30,-40,-48,-41,-23,44,-29,-11,-109,-2
49,42,39,46,30,43,56,30,-44,-33,-26,-29,-43,-49,-37,-11,44,-33,-9,-109,-2
49,45,42,49,30,47,62,32,-46,-38,-25,-27,-43,-49,-31,1,45,-35,-7,-106,-2
47,45,43,49,30,50,65,33,-46,-41,-25,-25,-42,-49,-25,12,46,-35,-6,-102,-2
44,40,39,45,28,47,62,32,-47,-42,-26,-24,-40,-48,-21,21,44,-34,-6,-97,-2
38,32,32,37,25,41,55,27,-46,-41,-28,-24,-38,-47,-20,26,40,-32,-6,-95,-2
34,23,23,27,23,34,46,21,-45,-38,-30,-24,-35,-44,-18,28,34,-28,-6,-93,-1
32,16,16,19,22,28,39,16,-41,-32,-31,-23,-32,-39,-15,27,31,-23,-4,-90,-1
33,12,13,14,23,25,33,13,-36,-25,-29,-21,-27,-33,-12,24,32,-18,-1,-87,-1
37,11,13,11,26,25,31,14,-31,-18,-25,-19,-21,-26,-8,20,35,-13,2,-82,-3
43,14,17,13,31,28,33,19,-26,-11,-21,-17,-17,-20,-4,15,42,-9,8,-76,-6
49,18,24,17,36,33,36,25,-22,-3,-17,-15,-12,-16,-2,9,49,-5,15,-69,-10
54,22,31,24,40,37,41,31,-18,2,-12,-12,-7,-11,0,2,54,-1,21,-62,-13
56,24,36,30,41,40,44,33,-15,7,-8,-8,-2,-7,0,-3,55,2,24,-56,-14
54,24,38,33,40,41,45,30,-12,10,-4,-5,1,-4,1,-9,53,5,24,-51,-13
48,21,36,34,36,37,44,25,-10,10,0,-2,4,-1,1,-13,48,7,21,-46,-10
40,16,32,31,31,32,41,17,-9,10,0,0,6,0,0,-16,41,8,16,-41,-6
29,8,25,26,23,23,36,8,-9,8,0,1,6,-1,-3,-18,32,8,7,-38,-2
17,0,16,18,15,11,30,0,-11,7,-2,1,5,-4,-6,-18,23,7,-2,-35,-1
6,-9,7,10,7,1,24,-8,-14,6,-6,1,3,-7,-9,-15,14,4,-11,-32,0
-1,-15,1,5,0,-6,21,-14,-19,6,-9,3,0,-8,-10,-9,4,0,-16,-26,0
-5,-17,-2,2,-4,-9,21,-19,-25,4,-11,5,-5,-8,-8,-1,-3,-4,-18,-19,1
-6,-16,-4,2,-8,-9,22,-21,-31,1,-10,8,-8,-6,-3,8,-11,-9,-15,-10,3
-5,-12,-4,2,-10,-7,23,-22,-36,-1,-8,12,-10,-4,2,20,-15,-13,-11,0,6
-6,-10,-4,2,-10,-5,23,-20,-39,-2,-6,14,-10,-2,7,31,-17,-15,-7,9,9
-9,-11,-5,-1,-12,-7,18,-19,-40,-2,-5,14,-9,-3,9,38,-18,-16,-5,17,11
-16,-17,-9,-7,-14,-12,9,-20,-41,-3,-4,12,-9,-4,7,43,-20,-15,-7,25,11
-23,-24,-13,-13,-16,-19,0,-23,-41,-4,-5,10,-10,-7,4,45,-23,-16,-9,35,10
-26,-26,-15,-15,-18,-23,-5,-26,-41,-8,-5,9,-12,-10,0,46,-25,-18,-9,48,7
-24,-23,-13,-11,-18,-21,-6,-26,-40,-13,-5,10,-14,-12,0,47,-25,-21,-6,67,3
-19,-16,-8,-4,-18,-16,-2,-24,-37,-18,-4,10,-13,-12,0,47,-22,-25,-1,91,0
-14,-10,-5,0,-19,-11,0,-20,-35,-21,-4,9,-12,-13,0,43,-18,-27,3,115,-3
-11,-7,-3,3,-21,-8,2,-16,-33,-22,-5,5,-10,-14,0,35,-15,-29,8,135,-6
-11,-9,-4,1,-24,-7,1,-14,-32,-19,-9,-2,-10,-15,-2,23,-14,-29,12,147,-9
-12,-13,-6,0,-26,-6,1,-12,-32,-15,-13,-10,-11,-16,-6,9,-15,-29,18,150,-11
-13,-15,-6,-2,-28,-4,2,-10,-32,-11,-16,-17,-12,-16,-10,-3,-17,-28,24,145,-12
-12,-15,-4,-1,-28,0,7,-7,-32,-9,-17,-21,-11,-15,-12,-12,-16,-27,32,133,-12
-9,-10,0,0,-27,4,12,-4,-30,-9,-14,-21,-9,-14,-14,-18,-14,-25,38,118,-11
-8,-5,3,2,-28,6,15,-2,-28,-13,-10,-19,-7,-16,-16,-21,-11,-25,42,97,-9
-9,-2,3,0,-29,4,13,-3,-26,-18,-6,-18,-6,-20,-20,-25,-9,-25,42,71,-7
-13,-4,0,-4,-33,-3,3,-9,-27,-24,-5,-18,-8,-27,-27,-30,-10,-27,38,41,-5
-19,-9,-8,-12,-38,-15,-11,-19,-28,-31,-7,-20,-14,-35,-36,-36,-14,-31,31,6,-2
-25,-16,-16,-20,-42,-28,-26,-30,-30,-38,-11,-23,-22,-42,-46,-42,-21,-34,24,-29,0
-30,-20,-23,-25,-45,-38,-38,-39,-32,-43,-14,-25,-30,-47,-53,-43,-25,-38,19,-64,4
-32,-21,-25,-26,-45,-42,-43,-43,-32,-46,-17,-26,-34,-49,-55,-41,-26,-39,16,-96,6
-31,-19,-23,-24,-42,-42,-43,-41,-30,-46,-17,-25,-34,-47,-52,-35,-22,-38,16,-122,8
-28,-16,-19,-20,-36,-39,-38,-35,-28,-43,-17,-23,-32,-43,-45,-27,-16,-36,17,-144,8
-24,-12,-13,-16,-30,-35,-32,-28,-26,-38,-16,-21,-30,-39,-37,-19,-10,-33,20,-161,6
-20,-8,-9,-12,-24,-30,-25,-21,-24,-33,-16,-20,-28,-35,-30,-11,-6,-31,24,-173,4
-15,-6,-5,-8,-20,-25,-18,-17,-25,-30,-15,-18,-28,-33,-24,-3,-6,-30,28,-179,2
-11,-4,-2,-4,-17,-20,-11,-16,-26,-29,-15,-17,-30,-32,-20,3,-9,-31,33,-173,1
-8,-3,-1,0,-15,-16,-4,-17,-28,-30,-15,-14,-32,-33,-16,10,-12,-34,37,-147,1
-7,-4,0,3,-15,-13,1,-18,-30,-31,-14,-12,-34,-35,-15,13,-15,-38,37,-89,1
-9,-8,-2,3,-17,-13,2,-19,-33,-33,-15,-12,-35,-39,-17,12,-18,-41,34,17,0
-12,-15,-6,0,-18,-14,0,-19,-36,-35,-20,-15,-39,-46,-23,6,-19,-45,29,184,-5
-15,-22,-10,-5,-19,-16,-4,-18,-42,-37,-26,-21,-44,-54,-34,-5,-20,-48,25,415,-11
-14,-27,-13,-10,-17,-15,-8,-15,-48,-39,-34,-29,-49,-61,-46,-18,-20,-50,26,696,-19
-9,-26,-13,-12,-13,-10,-7,-11,-54,-39,-41,-36,-52,-65,-55,-29,-18,-48,33,989,-25
-2,-22,-10,-10,-6,-2,-1,-5,-57,-37,-45,-39,-51,-65,-58,-36,-14,-44,43,1236,-29
4,-17,-6,-6,0,7,7,1,-56,-31,-44,-39,-44,-59,-56,-37,-9,-35,55,1379,-30
6,-13,-4,-1,3,15,16,8,-51,-19,-40,-35,-33,-50,-47,-32,-4,-24,63,1372,-25
2,-15,-4,0,3,18,21,12,-42,-3,-34,-29,-19,-40,-36,-24,-1,-12,66,1203,-18
-6,-22,-7,0,-1,16,22,13,-33,12,-26,-22,-5,-29,-24,-15,-3,-2,63,898,-7
-16,-29,-11,0,-8,12,20,11,-26,26,-18,-16,4,-19,-12,-4,-8,4,56,514,2
-23,-33,-12,0,-16,9,19,7,-21,34,-10,-8,11,-10,-1,7,-14,7,49,122,12
-25,-31,-9,5,-20,9,20,4,-18,35,-2,0,14,-2,9,20,-20,6,43,-218,19
-24,-25,-3,13,-23,10,23,2,-17,30,3,8,13,3,18,32,-23,1,38,-474,23
-23,-19,2,20,-25,11,26,0,-17,22,7,15,8,4,23,41,-25,-6,32,-637,24
-25,-17,5,24,-27,9,25,-3,-18,13,6,18,1,1,22,46,-29,-13,22,-721,23
-32,-20,4,22,-31,2,19,-9,-20,5,2,16,-6,-7,15,47,-35,-21,10,-748,21
-40,-28,0,16,-36,-7,11,-16,-23,-1,-5,10,-15,-17,6,44,-43,-27,-2,-741,18
-47,-37,-6,9,-40,-15,4,-23,-26,-6,-13,2,-23,-27,-2,42,-50,-31,-14,-716,15
-50,-40,-10,6,-41,-20,1,-26,-26,-9,-19,-4,-27,-31,-7,41,-54,-33,-22,-682,13
-47,-39,-11,5,-39,-19,2,-25,-24,-11,-21,-8,-27,-30,-7,44,-52,-33,-26,-644,13
-39,-33,-10,8,-34,-16,6,-21,-20,-10,-22,-10,-23,-26,-3,46,-45,-31,-26,-605,13
-30,-27,-9,9,-30,-12,10,-16,-15,-7,-21,-11,-16,-19,0,47,-37,-27,-26,-568,15
-24,-26,-10,5,-26,-12,8,-14,-11,-2,-20,-13,-11,-14,2,44,-31,-22,-26,-534,17
-23,-28,-15,-2,-25,-17,1,-15,-9,3,-22,-15,-8,-11,0,36,-28,-17,-28,-503,19
-23,-32,-21,-12,-25,-22,-8,-17,-8,8,-24,-17,-8,-11,-3,25,-29,-12,-30,-472,22
-23,-34,-25,-20,-24,-26,-17,-19,-9,12,-25,-17,-8,-13,-9,15,-29,-9,-30,-442,24
-20,-31,-25,-22,-22,-25,-21,-17,-9,15,-25,-15,-8,-14,-14,8,-27,-5,-28,-412,25
-13,-21,-19,-17,-18,-19,-20,-10,-7,18,-21,-11,-5,-15,-16,4,-19,-2,-25,-381,25
-6,-10,-10,-10,-14,-12,-16,-2,-2,22,-16,-5,0,-14,-18,1,-9,1,-21,-351,23
0,-1,-2,-3,-9,-5,-11,6,2,26,-11,-2,3,-14,-20,-1,0,6,-18,-321,20
3,2,3,0,-6,-1,-8,11,5,28,-8,0,6,-13,-21,-5,6,9,-16,-293,16
5,3,5,2,-4,0,-5,14,7,29,-6,-1,7,-12,-22,-8,9,12,-13,-266,12
6,2,5,2,-1,2,-3,14,6,28,-5,-2,7,-8,-20,-9,9,15,-8,-237,9
8,2,4,3,1,5,0,14,3,28,-3,-3,7,-3,-14,-7,9,17,-1,-209,8
9,1,3,4,4,8,5,16,1,28,-1,-4,9,2,-7,-3,11,20,6,-181,7
10,0,2,5,7,12,10,19,0,31,0,-5,12,9,1,1,14,22,13,-157,7
9,-2,0,5,9,14,12,23,-2,35,0,-7,16,15,8,6,15,24,18,-136,6
6,-6,-1,4,10,14,12,25,-3,40,-2,-9,18,19,14,9,13,25,23,-118,5
2,-10,-3,3,10,14,11,25,-7,43,-6,-11,17,21,16,13,7,25,28,-102,4
-1,-14,-4,4,10,15,10,23,-13,42,-10,-12,12,21,18,18,-1,22,34,-85,3
-4,-15,-3,5,9,18,11,19,-20,39,-13,-11,5,21,19,24,-11,19,40,-66,3
-6,-14,-2,6,9,20,13,16,-25,35,-13,-8,0,21,22,32,-17,16,46,-45,2
-9,-14,-1,6,8,21,16,15,-28,32,-12,-4,-2,22,24,39,-19,14,50,-21,2
-12,-15,-1,4,6,18,17,15,-27,31,-10,-1,-2,21,26,43,-16,13,52,3,1
-15,-17,-3,1,6,13,17,17,-23,31,-7,0,-1,20,26,43,-11,12,52,27,0
-14,-17,-4,0,6,9,16,18,-18,32,-5,1,0,19,24,40,-5,11,53,49,0
-9,-14,-2,0,9,7,17,20,-14,31,-2,2,1,18,22,35,1,10,58,71,-1
0,-5,3,6,14,12,20,24,-10,29,1,4,2,18,21,29,7,9,67,91,-3
13,6,11,15,20,19,25,29,-8,25,5,7,3,18,21,24,13,9,78,111,-5
23,17,20,23,24,27,29,34,-7,21,9,10,3,19,21,19,19,10,88,129,-7
27,24,24,27,26,31,29,39,-8,18,10,10,3,17,19,12,21,9,93,146,-10
25,24,25,26,25,31,24,40,-10,15,8,7,0,13,14,2,19,8,93,160,-13
19,20,24,23,22,27,17,39,-13,12,4,2,-3,7,6,-7,14,4,90,173,-16
10,14,22,19,19,22,9,37,-16,8,-1,-2,-9,0,-2,-16,7,-1,86,183,-18
3,9,21,16,16,20,4,34,-21,3,-8,-8,-15,-6,-11,-24,0,-8,82,192,-19
2,9,24,19,17,23,6,33,-26,0,-13,-13,-21,-12,-17,-29,-3,-14,82,201,-19
6,10,28,23,19,28,11,36,-28,-1,-17,-17,-23,-15,-20,-31,-4,-16,81,209,-17
2,1,23,18,16,24,8,31,-30,-2,-23,-24,-26,-20,-25,-35,-9,-19,75,212,-17
-6,-15,8,5,8,12,-1,18,-35,-7,-34,-35,-34,-27,-33,-42,-23,-24,66,209,-17
-11,-25,-2,-2,3,6,-2,5,-43,-17,-43,-44,-43,-32,-37,-45,-36,-33,63,207,-16
-7,-22,-3,0,2,9,7,0,-48,-27,-45,-47,-47,-32,-35,-41,-39,-41,65,208,-14
0,-13,0,6,4,15,20,0,-50,-34,-42,-44,-45,-28,-29,-33,-35,-47,68,209,-11
4,-6,4,12,5,19,30,3,-49,-37,-37,-40,-40,-24,-23,-25,-28,-50,67,207,-8
7,0,7,14,5,21,33,6,-45,-34,-32,-34,-34,-20,-16,-18,-19,-48,62,200,-5
7,0,6,11,2,18,27,6,-40,-30,-29,-29,-28,-18,-12,-14,-11,-43,52,186,-4
2,-6,0,1,-3,7,12,2,-35,-25,-29,-26,-23,-19,-11,-14,-8,-38,38,164,-4
-2,-14,-10,-10,-9,-4,-4,-6,-33,-24,-31,-26,-23,-20,-14,-17,-10,-35,27,137,-5
-1,-15,-15,-16,-11,-10,-14,-13,-32,-24,-31,-25,-23,-20,-15,-18,-13,-34,24,108,-6
7,-7,-13,-13,-8,-8,-14,-14,-29,-23,-27,-22,-22,-17,-15,-16,-10,-32,28,79,-7
18,3,-6,-7,-1,-2,-9,-10,-24,-19,-19,-17,-16,-11,-14,-14,-4,-27,34,49,-7
26,8,-1,-3,5,0,-8,-5,-17,-12,-13,-14,-9,-5,-14,-13,1,-20,37,17,-7
29,7,-1,-4,9,-2,-12,-4,-12,-5,-9,-14,-4,-2,-17,-15,4,-12,37,-16,-7
29,3,-2,-4,12,-5,-16,-3,-9,0,-8,-15,-1,-1,-20,-17,4,-5,36,-48,-6
30,2,-2,-3,13,-5,-17,-1,-8,3,-7,-16,0,-1,-22,-17,4,0,35,-76,-3
30,2,-1,-1,13,-5,-18,0,-9,4,-7,-16,1,-1,-24,-16,4,4,34,-99,-1
28,3,-2,0,11,-4,-19,0,-11,4,-7,-16,0,-1,-25,-14,0,6,31,-117,1
25,5,-3,0,9,-2,-19,0,-14,3,-9,-16,-3,-1,-27,-12,-5,4,28,-130,3
22,7,-2,1,8,1,-16,0,-15,2,-10,-17,-4,0,-27,-9,-9,2,26,-138,4
19,9,-2,1,7,5,-12,2,-15,3,-10,-18,-3,2,-26,-7,-12,2,23,-142,5
12,3,-5,-1,5,4,-13,1,-13,7,-11,-20,-1,2,-26,-8,-14,2,18,-144,5
2,-7,-13,-10,0,-1,-20,-2,-11,10,-13,-23,0,1,-27,-11,-20,4,10,-148,4
-5,-19,-22,-17,-4,-7,-28,-9,-10,12,-14,-25,0,0,-26,-15,-25,4,4,-151,5
-8,-24,-26,-19,-8,-9,-30,-14,-8,11,-13,-23,0,1,-22,-14,-27,4,2,-152,5
-3,-20,-25,-14,-9,-6,-26,-14,-5,10,-7,-18,3,6,-14,-9,-22,5,4,-149,6
3,-13,-22,-5,-9,0,-18,-9,-1,8,0,-11,9,13,-4,-1,-13,6,9,-142,6
8,-8,-19,1,-10,2,-12,-6,2,6,4,-5,14,19,3,5,-4,7,12,-133,5
8,-9,-21,4,-13,2,-9,-5,3,3,7,-4,15,22,7,10,0,6,13,-124,1
5,-14,-26,3,-17,0,-11,-8,0,0,6,-6,11,20,6,11,-2,3,13,-115,-2
0,-22,-33,0,-23,-6,-15,-14,-5,-5,3,-10,5,15,3,11,-8,0,11,-105,-6
-5,-27,-40,-4,-27,-10,-18,-19,-10,-9,1,-13,0,11,0,12,-16,-4,10,-93,-10
-8,-29,-43,-6,-31,-12,-18,-23,-14,-12,0,-15,-5,7,-1,15,-23,-7,9,-82,-11
-10,-26,-42,-6,-32,-11,-15,-23,-16,-12,0,-14,-7,6,-1,19,-26,-9,8,-71,-10
-10,-21,-39,-5,-32,-10,-11,-21,-15,-10,2,-13,-6,6,0,23,-26,-10,8,-64,-7
-10,-17,-34,-5,-32,-9,-8,-17,-12,-6,3,-12,-4,7,0,26,-23,-9,7,-62,-3
-10,-14,-30,-5,-31,-9,-6,-14,-10,-1,2,-12,-2,7,0,26,-22,-7,8,-64,0
-10,-12,-26,-6,-30,-10,-6,-12,-9,2,0,-12,-3,6,-1,23,-22,-4,8,-67,3
-8,-10,-22,-6,-28,-11,-6,-12,-10,6,-3,-13,-4,6,-3,21,-24,-1,10,-67,5
-4,-6,-18,-5,-25,-11,-6,-11,-9,10,-6,-13,-4,7,-4,19,-23,3,12,-62,6
0,-3,-15,-5,-23,-12,-7,-9,-6,15,-7,-13,-2,8,-4,15,-19,9,12,-51,6
1,-1,-14,-6,-20,-14,-10,-6,0,21,-7,-14,2,9,-5,10,-11,17,9,-38,6
2,-1,-14,-9,-16,-17,-13,-2,6,28,-7,-14,8,10,-7,3,-2,25,4,-26,5
2,-1,-14,-12,-11,-18,-16,0,14,33,-6,-15,13,10,-10,-4,5,32,0,-17,4
3,0,-12,-12,-6,-17,-14,3,19,34,-6,-15,15,9,-13,-10,10,36,-1,-13,4
5,3,-8,-8,-1,-12,-8,5,21,30,-6,-13,14,8,-15,-12,11,37,0,-11,5
8,10,-2,-1,2,-2,1,8,19,23,-5,-10,10,6,-14,-8,9,33,5,-8,6
11,16,2,7,6,7,13,10,16,16,-3,-5,6,5,-11,-2,4,26,9,-2,5
10,19,7,15,6,16,23,13,12,10,0,0,3,5,-7,4,0,19,12,8,4
4,17,7,16,5,20,28,15,7,7,2,4,2,4,-2,9,-5,11,11,24,0
-5,8,3,13,1,20,27,15,2,6,4,6,0,2,1,12,-12,3,6,45,-3
-16,-3,-1,7,-3,18,23,11,-4,4,4,6,-3,0,4,11,-20,-4,1,69,-6
-23,-12,-6,2,-9,16,19,7,-14,0,3,4,-9,-3,6,11,-27,-13,0,94,-7
-25,-16,-7,1,-14,17,19,4,-24,-6,1,2,-16,-5,10,12,-32,-22,0,118,-7
-22,-15,-7,3,-18,19,22,2,-32,-13,-1,2,-22,-6,14,16,-35,-31,3,138,-5
-18,-14,-7,6,-22,19,25,2,-39,-19,-5,2,-27,-6,16,20,-37,-38,6,152,-3
-16,-14,-8,6,-26,16,26,0,-43,-22,-12,1,-31,-9,17,22,-38,-43,7,157,-1
-16,-17,-12,2,-29,9,22,-2,-47,-25,-19,-2,-34,-13,13,20,-40,-47,5,152,1
-18,-22,-18,-3,-33,0,14,-8,-49,-26,-28,-8,-38,-20,6,15,-42,-49,0,137,3
-19,-24,-21,-8,-35,-7,6,-14,-51,-29,-35,-16,-41,-28,-2,8,-42,-51,-6,114,6
-15,-21,-19,-11,-34,-11,1,-18,-52,-32,-40,-23,-44,-35,-11,1,-39,-52,-10,83,8
-6,-12,-13,-10,-30,-10,0,-18,-51,-35,-41,-26,-43,-39,-18,-3,-31,-51,-12,50,10
4,0,-5,-6,-22,-6,2,-14,-48,-37,-39,-27,-40,-40,-24,-7,-19,-48,-11,17,12
16,12,1,-4,-13,-2,4,-8,-44,-36,-36,-26,-34,-40,-30,-10,-6,-43,-10,-15,12
25,20,5,-5,-4,-1,2,-3,-41,-32,-35,-26,-30,-41,-37,-16,4,-36,-10,-45,12
31,23,5,-9,2,-2,-3,-1,-38,-27,-35,-28,-27,-43,-46,-25,11,-31,-10,-72,10
34,22,2,-15,8,-6,-12,-1,-36,-23,-36,-32,-26,-47,-56,-35,15,-27,-11,-97,8
37,20,0,-18,13,-10,-18,-1,-33,-21,-37,-35,-27,-50,-65,-44,16,-25,-11,-119,5
40,21,0,-18,18,-10,-20,0,-30,-21,-37,-36,-28,-52,-70,-50,19,-26,-11,-135,2
44,24,1,-14,21,-8,-18,1,-26,-22,-35,-35,-28,-53,-72,-52,23,-28,-12,-145,0
45,26,3,-9,23,-6,-14,3,-24,-26,-33,-33,-29,-53,-71,-52,26,-31,-14,-148,0
41,25,3,-6,21,-4,-12,3,-24,-31,-33,-34,-31,-55,-72,-52,26,-36,-18,-141,-2
34,19,0,-7,17,-5,-13,0,-28,-37,-34,-37,-36,-58,-73,-54,21,-42,-23,-115,-3
23,10,-5,-11,11,-9,-17,-5,-34,-42,-38,-42,-41,-60,-75,-58,12,-47,-27,-56,-6
12,2,-12,-16,6,-14,-21,-11,-40,-46,-41,-46,-46,-61,-75,-62,1,-51,-29,52,-10
4,-4,-16,-20,2,-18,-22,-16,-43,-49,-42,-47,-47,-59,-72,-63,-6,-54,-29,226,-15
0,-6,-19,-22,2,-22,-19,-16,-43,-49,-41,-44,-44,-53,-65,-61,-9,-54,-27,466,-20
-1,-7,-19,-25,3,-26,-12,-13,-40,-47,-37,-40,-39,-46,-55,-57,-6,-52,-25,752,-26
-1,-7,-18,-27,5,-31,-4,-8,-37,-43,-34,-36,-34,-40,-46,-52,0,-49,-25,1040,-30
0,-8,-18,-30,7,-37,3,-4,-35,-37,-31,-33,-29,-35,-37,-47,4,-46,-27,1269,-32
1,-9,-18,-32,9,-42,10,-1,-34,-31,-29,-32,-26,-31,-30,-42,6,-41,-29,1381,-31
4,-10,-17,-30,10,-43,17,0,-32,-23,-26,-31,-23,-27,-22,-35,4,-36,-32,1339,-26
8,-7,-14,-24,11,-40,25,-1,-27,-14,-21,-26,-17,-19,-12,-25,0,-28,-33,1140,-18
12,-3,-10,-15,11,-34,33,-1,-18,-2,-13,-18,-8,-9,0,-13,-2,-17,-36,818,-8
15,0,-6,-7,10,-28,38,-1,-5,12,-2,-9,4,2,12,0,-3,-3,-40,435,2
14,0,-4,-3,8,-26,39,0,8,27,8,0,18,13,23,10,-3,10,-46,56,12
8,-2,-7,-6,3,-29,33,-2,21,41,18,4,29,22,29,17,-4,24,-54,-264,19
0,-7,-12,-13,0,-35,23,-6,30,51,23,5,35,26,30,20,-7,33,-61,-499,24
-7,-10,-18,-19,-4,-41,13,-11,34,56,26,6,35,29,28,20,-12,37,-64,-644,25
-11,-11,-22,-23,-6,-44,6,-16,35,56,27,6,32,30,25,20,-17,37,-62,-710,25
-13,-10,-24,-24,-6,-45,1,-20,35,54,28,8,28,31,22,20,-20,35,-58,-722,22
